name,phone,car_brand,car_model,car_age_years,km_driven,last_service_months,issue_text,service_category,priority_level,estimated_hours
Alexandra Merritt,+1-887-351-7714x4070,BMW,3-Series,1,40019,23,strange smell from cabin. Ready system control car certainly consider body.,Brakes,Low,5.8
Kelsey Silva,559-972-5252x3194,Hyundai,i20,14,23463,19,battery dies quickly. Two management time they before store something.,Engine,High,6.8
Matthew Santos,3153325569,BMW,5-Series,1,66340,21,brakes making noise. Great drive report national its cold.,Brakes,Low,4.0
Richard Escobar,345-594-0407,Kia,Seltos,0,1000,34,brakes making noise. Course check cultural activity raise its.,Brakes,Medium,2.4
Cameron Maxwell,5427190188,BMW,5-Series,7,54450,33,strange smell from cabin. Fight dog even particular pressure country music.,AC,Medium,4.7
Chad Cohen,(237)769-9368x678,Maruti,Swift,14,41778,21,engine oil leak. Politics able stop air not.,Oil Change,Medium,1.2
Stephanie Warner,001-794-953-3034x2140,Mahindra,Thar,11,53271,7,battery dies quickly. Network send pull include.,General Check,High,1.2
Ryan Porter,235-201-1860x284,Toyota,Corolla,10,49160,17,engine oil leak,Oil Change,Low,1.8
Kristy Murray,957.788.8146,BMW,3-Series,10,40281,22,car not starting intermittently. Probably most join dinner.,Engine,High,3.9
Jane Thomas,(235)829-8291x871,Mahindra,Thar,10,1000,35,tyre puncture frequently,General Check,Medium,3.0
Jody Davis DVM,7245870290,Toyota,Camry,1,20079,8,squealing noise from belt. Decide decide across medical show keep bring.,Electrical,Low,3.5
Justin Ramos,+1-492-499-4339,Hyundai,Creta,8,73529,21,squealing noise from belt. Figure environment case painting story.,Brakes,Low,2.2
Maria Cummings,493.434.1996,Maruti,Baleno,6,28070,13,vibration while accelerating. Teach recently seem science both music near left.,Brakes,High,3.4
Marie Jones,560.958.3262x94934,BMW,3-Series,14,34021,27,strange smell from cabin. Personal baby bit.,Engine,Medium,6.1
Kristen Franklin,001-563-786-6438,Maruti,Swift,13,51388,32,squealing noise from belt. Threat human friend board long business send.,Engine,Medium,4.0
Matthew Potter,664-513-6004x2626,Hyundai,Creta,2,33921,4,car not starting intermittently,Brakes,High,2.9
David Cook,674.858.5290,Kia,Seltos,13,19479,13,brakes making noise,Engine,Medium,2.5
Karen Thomas,+1-369-222-3339x1476,Kia,Seltos,15,39684,22,squealing noise from belt. Grow surface start food argue story.,General Check,Medium,1.7
Destiny Riley,855-258-0984x03262,Toyota,Camry,13,49129,18,car not starting intermittently. Medical week thus ball exist short break.,General Check,High,1.8
Derek Nichols,635.293.7446x42706,Mahindra,Bolero,8,14601,34,tyre puncture frequently,Tire,Medium,1.0
Jason Thomas,(718)498-8037,Honda,Civic,2,60931,21,strange smell from cabin,General Check,Low,2.6
Kathy Banks,5186219766,Toyota,Camry,14,71315,32,strange smell from cabin. Heart property nothing candidate.,Engine,Medium,6.9
Wayne Brown,(801)998-0574,Maruti,Baleno,10,40713,5,vibration while accelerating. Quickly trouble bad memory.,Engine,High,7.2
Debra Thomas,001-775-665-6278x2543,Maruti,Baleno,8,25964,14,squealing noise from belt. Down police candidate time spring.,General Check,Low,1.5
Frederick Sheppard,6769627031,Kia,Seltos,10,51091,9,vibration while accelerating,Engine,High,6.3
David Fernandez,(334)894-5998,Honda,Civic,6,1000,12,squealing noise from belt. Friend wide tend focus both these purpose their.,Brakes,Low,2.0
Toni Harper DVM,001-336-393-0797x04213,Hyundai,i20,14,79095,31,aircon not cooling,Engine,Medium,8.0
Stacy Howard,001-560-860-3723x00867,BMW,5-Series,0,46207,8,strange smell from cabin. Arm when case Republican political.,Electrical,Low,0.8
Christopher Wiley,6286609472,Kia,Sonet,14,86544,10,aircon not cooling. Just both others later risk.,Engine,Medium,7.8
Amy Wright,001-350-379-0831x4509,Hyundai,i20,2,20743,16,tyre puncture frequently,Tire,Low,1.2
Jesse Daniels,(961)399-6197x8536,Hyundai,i20,15,37297,34,battery dies quickly. Law area of investment college still.,Engine,High,8.1
Richard Arnold,373.457.1448x4766,Hyundai,Creta,13,42462,35,engine oil leak. Form last series ground.,Oil Change,Medium,1.3
Aaron Taylor,597-945-2430x502,BMW,5-Series,13,16862,3,car not starting intermittently. Total do building buy.,General Check,High,1.4
James Adams MD,(237)280-3159,Honda,Civic,10,63547,9,squealing noise from belt,Engine,Low,8.8
Natalie Henry,3402886442,Maruti,Swift,2,37639,1,car not starting intermittently. Information structure police draw travel fast.,Oil Change,High,2.2
Derrick Taylor,969.264.0053x0289,BMW,3-Series,12,2381,18,brakes making noise. Sit today each few student.,General Check,Medium,1.3
Christopher Griffith,(687)967-1877x182,Hyundai,i20,5,45903,31,engine oil leak,Oil Change,Medium,1.7
Kathleen Hardy,(558)583-7074x571,Maruti,Swift,11,1000,19,aircon not cooling,General Check,Medium,2.4
Kenneth Tucker,9623981587,Honda,Civic,8,1000,13,aircon not cooling. Time out offer agree hold.,AC,Low,2.9
Debra Mitchell,908-373-3809x1626,Hyundai,i20,6,21402,12,engine oil leak,Oil Change,Low,1.8
Amber Houston,8599723801,Mahindra,Thar,4,1643,36,squealing noise from belt,AC,Medium,2.4
Heather Ramirez,428-371-4448x90433,Honda,Civic,5,32279,11,car not starting intermittently,Tire,High,0.7
Deborah Diaz,(476)814-2699x124,Hyundai,i20,15,71127,26,vibration while accelerating. Check current fill member out hit.,Engine,High,5.2
Peter Tanner,(688)779-0197,Kia,Seltos,13,25195,17,tyre puncture frequently. For along effect away impact who.,General Check,Medium,2.5
Olivia Benson,205-490-4369x5896,Mahindra,Bolero,11,6171,20,strange smell from cabin,General Check,Medium,2.9
Jill Sherman,715-840-0057,Honda,Civic,7,34623,13,tyre puncture frequently. Media or another amount newspaper suggest to.,Tire,Low,1.5
Cindy Lloyd,903-314-6715x56816,Hyundai,Creta,1,127344,15,brakes making noise,Brakes,Medium,4.3
Adriana Patterson,+1-328-438-2144x0274,Toyota,Camry,2,36605,29,strange smell from cabin. Present bank quality usually role part commercial.,Engine,Medium,4.6
Sarah Collins,(654)515-2717x002,Mahindra,Thar,13,33832,30,battery dies quickly. Dark save down word he behind.,Engine,High,4.7
Carly Lane,+1-292-260-3303x93818,Honda,Civic,0,14013,31,tyre puncture frequently,Tire,Medium,0.6
Anthony Dodson,397.496.7165,BMW,3-Series,13,40067,7,vibration while accelerating,Engine,High,8.1
Michael Morton,847-873-9978x67003,BMW,5-Series,11,66425,12,car not starting intermittently. Vote true help fear executive.,Engine,High,5.8
Tammy Barnett,270.872.2746,Toyota,Corolla,5,67255,26,squealing noise from belt. Follow take school discuss.,Oil Change,Medium,0.9
Frank Stephenson,(651)242-1828,Maruti,Baleno,4,74539,35,strange smell from cabin. Discussion nature test these it leave.,Tire,Medium,0.5
Tina Gonzalez,+1-718-833-5368x8061,BMW,3-Series,10,37759,12,car not starting intermittently. Surface close action.,General Check,High,1.1
Cameron Griffin,568.844.9798x86670,Honda,City,10,50446,29,aircon not cooling. Picture check task case population ready.,General Check,Medium,1.4
Eugene Johnson,+1-225-613-9189,Kia,Sonet,4,43016,34,battery dies quickly. Girl increase figure choice for ten.,Electrical,High,2.1
Brian James,+1-396-830-7850x9058,Toyota,Camry,2,31316,24,tyre puncture frequently. Job listen people less concern tough central.,Tire,Low,0.7
Todd Perez,979-833-0396x34302,Mahindra,Bolero,9,60525,27,aircon not cooling,General Check,Medium,1.8
Mark Reynolds,001-303-697-1058x2304,Maruti,Baleno,1,21802,35,battery dies quickly,Electrical,High,2.4
Maria Weiss,+1-831-473-8631x036,Toyota,Corolla,13,76458,15,squealing noise from belt. Sure always deep news.,Engine,Medium,7.0
Michael Parker,(245)397-2053x896,Maruti,Swift,10,21326,19,vibration while accelerating. They government material policy carry.,General Check,High,1.5
Sergio Ellis,408-807-6219x189,BMW,5-Series,4,35453,31,vibration while accelerating. Able necessary art heart.,Electrical,High,1.5
Billy Kirby,+1-982-586-2318x85508,Maruti,Swift,13,30820,24,car not starting intermittently,Engine,High,3.4
Erin Clay,001-762-202-9306x15953,Kia,Sonet,1,24870,7,battery dies quickly,Electrical,High,2.9
Amanda Wong,001-345-910-1739,Kia,Sonet,10,1000,4,brakes making noise,General Check,Low,1.9
Joe Gonzalez,853.667.5769x32967,Toyota,Camry,10,19733,29,car not starting intermittently. She audience happy.,General Check,High,2.1
Joseph Page,455.645.5080x847,Kia,Seltos,5,47006,30,vibration while accelerating,Electrical,High,2.4
Kristen Brooks,962.632.2595,BMW,5-Series,2,113277,24,vibration while accelerating. Group safe some between case week.,Tire,High,1.0
William Garcia,736.584.6791,Hyundai,i20,4,1041,24,aircon not cooling. Sister morning after that long dog.,AC,Low,0.5
Amber Campos,5914890739,Toyota,Camry,9,57019,24,vibration while accelerating,General Check,High,0.7
William Brooks MD,886-885-4763,BMW,3-Series,4,61221,32,strange smell from cabin. Hotel who painting approach week strategy.,Tire,Medium,0.5
Luis Herrera,464.935.8490x17389,Hyundai,Creta,1,31087,8,vibration while accelerating,Engine,High,6.3
Lisa Shaffer,379-938-2481,Maruti,Swift,14,22090,6,car not starting intermittently. Either language war offer someone guy pay family.,Engine,High,4.8
Chad Williams,(759)471-4122x5847,Hyundai,i20,6,66085,12,battery dies quickly. Be heavy garden next three mind.,Electrical,High,3.3
Anne Nichols,953-377-5651,Honda,Civic,11,20158,30,tyre puncture frequently,General Check,Medium,1.2
Brittany Potter,001-974-471-0256x764,Mahindra,Thar,2,62983,8,brakes making noise. Surface song central.,Brakes,Low,3.3
Brian Mcgee,425-683-5015x31810,Honda,Civic,12,25912,12,vibration while accelerating,General Check,High,2.4
Michael Mueller,001-730-455-6796,Toyota,Camry,11,25101,16,engine oil leak. Item city common stay long.,Oil Change,Medium,0.9
Henry Lewis,(207)687-3648x945,Toyota,Camry,13,114801,6,vibration while accelerating. Notice fund need approach character hope have institution.,Engine,High,6.4
Brittany Davis,+1-311-502-6516x96240,Kia,Seltos,11,58578,14,battery dies quickly. Almost purpose spring health how future.,Engine,High,4.6
Kristin Thompson,(387)565-4516,Honda,Civic,6,19796,25,squealing noise from belt,Oil Change,Medium,0.5
Joseph Waters,397-931-9028x988,Kia,Seltos,11,47705,19,engine oil leak,Oil Change,Medium,2.0
Melanie Hawkins,797-965-3801x88845,Kia,Sonet,12,21866,33,battery dies quickly,Engine,High,8.2
Gary Burke,809-222-2291,Kia,Seltos,15,32136,31,brakes making noise. Wrong attorney others can religious camera.,Engine,Medium,10.3
Dennis Brown,333.219.0595,Toyota,Camry,11,45595,2,car not starting intermittently,General Check,High,2.0
Dennis Mcdonald,302.292.2699x90920,Mahindra,Thar,9,1815,22,tyre puncture frequently. Nor place chair thank close.,General Check,Low,1.4
Melissa Hunt,811.596.2478x398,Toyota,Corolla,9,61040,31,aircon not cooling. Office crime peace financial safe.,Engine,Medium,6.3
Jessica Wagner,001-855-311-1805x3853,Toyota,Corolla,7,60304,20,squealing noise from belt,Engine,Low,5.7
Holly Hahn,+1-287-716-7246x028,Honda,City,8,52923,26,brakes making noise. Phone head put nothing.,Brakes,Medium,1.3
Ricardo Hicks,587-617-1232x833,Toyota,Camry,2,31938,0,car not starting intermittently,General Check,High,1.9
Sandra Walker,769-598-7851,Kia,Seltos,8,35057,25,squealing noise from belt. Huge explain nature professor culture situation board.,General Check,Medium,2.0
Daniel Smith,(695)264-8523x160,Hyundai,i20,8,26972,20,tyre puncture frequently. Environmental to can real senior.,Tire,Low,0.6
Heidi Turner,001-330-436-2226x52248,Kia,Seltos,10,47553,3,squealing noise from belt,Engine,Low,4.9
Katelyn Schaefer,285-943-4428,Kia,Sonet,11,1000,33,aircon not cooling,Engine,Medium,7.0
Jamie Haynes,(976)622-6652x749,Honda,City,15,63716,36,battery dies quickly,Engine,High,8.8
Shelby Waller,001-308-503-7181x49341,Hyundai,i20,14,43907,6,strange smell from cabin,General Check,Medium,2.4
Cindy Campbell,6902906405,Mahindra,Bolero,5,12844,6,squealing noise from belt,General Check,Low,3.6
Claire Johnson,983.268.2781,Kia,Seltos,4,1000,0,strange smell from cabin,General Check,Low,1.6
Jennifer Martin,001-876-965-6719x0930,Mahindra,Bolero,10,63654,7,car not starting intermittently. Ready gas reflect office street have.,General Check,High,2.9
Danielle Schneider,+1-224-697-3145x804,Maruti,Swift,7,24158,31,tyre puncture frequently. Imagine amount marriage.,Tire,Medium,0.9
Evelyn Fowler,319.268.9158,Toyota,Camry,1,73363,2,car not starting intermittently,Oil Change,High,1.5
Tara Roberts,+1-795-201-7270x73433,Kia,Seltos,10,54594,22,strange smell from cabin,Engine,Low,3.9
Kristin Ali,+1-267-506-1485x52698,Honda,City,12,33581,1,aircon not cooling,General Check,Medium,0.9
Shannon Wright,410.469.3827,Maruti,Swift,12,9738,27,engine oil leak. Born suggest yeah her mother huge another.,Oil Change,Medium,1.4
Megan Gibbs,515.975.0887,Kia,Sonet,9,15829,35,squealing noise from belt. Century man lawyer common save game know.,Engine,Medium,4.1
Gerald Delgado,806.251.2012x40294,Maruti,Swift,12,50280,26,strange smell from cabin,General Check,Medium,2.4
Nathan Copeland,(472)734-8211x515,Honda,City,1,43099,32,squealing noise from belt,Tire,Medium,1.2
Diana Haley,001-386-974-3327x7837,Mahindra,Bolero,15,53130,13,tyre puncture frequently. Near month test the discuss create.,Engine,Medium,3.7
Phillip Mcgee,(390)763-1787x91546,Honda,Civic,8,66080,25,squealing noise from belt. Out production financial option likely throw maybe.,Tire,Medium,0.7
Donald Anderson,973-756-5200x91245,BMW,5-Series,13,1730,34,squealing noise from belt,General Check,Medium,2.1
Anthony Fernandez,001-222-704-8209x89462,Toyota,Corolla,7,76771,11,aircon not cooling. Themselves which media property citizen part serious.,AC,Low,2.0
Antonio Cole,939-622-9047,Maruti,Baleno,3,53954,25,car not starting intermittently,Oil Change,High,0.8
Kevin Williams,310.800.8982,Mahindra,Thar,14,58075,16,vibration while accelerating,General Check,High,2.8
Julia Morales,(922)464-2673x093,Honda,Civic,6,20621,4,strange smell from cabin. Arm she peace may my.,Engine,Low,5.9
Antonio Mahoney,+1-872-200-0234,Hyundai,Creta,4,12390,17,car not starting intermittently,Electrical,High,3.4
Robert Wheeler,001-602-493-0739,Honda,City,13,48533,0,engine oil leak,Oil Change,Medium,1.0
Lori Cook,6445195667,Toyota,Camry,3,23411,28,battery dies quickly,Electrical,High,3.3
Paul Hale,7529242490,Kia,Sonet,13,28946,16,brakes making noise. Art so house away street quality ok.,General Check,Medium,2.3
Jenny Gordon,529.814.5245x823,Hyundai,i20,1,64198,2,squealing noise from belt. Save after be mind happen.,General Check,Low,2.8
Glenn Baker,2365257439,Kia,Seltos,15,38240,13,car not starting intermittently,General Check,High,2.3
Mark Alvarado,561.617.0867x4702,Kia,Sonet,3,12767,1,strange smell from cabin. Machine hospital television him adult current quickly.,Oil Change,Low,0.8
Larry Hill,583.763.0529x3651,BMW,3-Series,12,61218,36,aircon not cooling. Reveal education north.,General Check,Medium,0.9
Stacy Patton,354.298.4449,Hyundai,i20,13,57933,9,battery dies quickly,General Check,High,2.4
Benjamin Olson,(871)991-7665,Hyundai,i20,8,14863,31,squealing noise from belt. Particularly rock direction.,Electrical,Medium,1.6
Julie Soto,690-959-0097,BMW,5-Series,11,14568,32,brakes making noise. News plan yourself.,General Check,Medium,1.7
Tanner Schroeder,+1-985-636-0167,Maruti,Baleno,11,35620,14,engine oil leak. In resource market scene could.,Oil Change,Medium,1.0
Susan Simpson,+1-845-465-6804x8356,Hyundai,Creta,1,22615,20,engine oil leak. Reach doctor again question note situation high today.,Oil Change,Low,1.3
Michael Bryan,(356)617-2462x402,Kia,Seltos,6,26793,23,engine oil leak. Call community raise.,Oil Change,Low,1.4
Leslie Brown,315-732-8970x57450,Maruti,Swift,3,50728,24,brakes making noise. Week lawyer news recently.,Brakes,Low,2.0
Jose Medina,757-933-5071x8879,BMW,3-Series,11,32022,11,squealing noise from belt. Sort imagine policy investment rule.,Engine,Medium,4.0
Courtney Brown,+1-901-761-2395x334,Maruti,Swift,12,47624,27,battery dies quickly. Their something special truth.,Engine,High,4.8
Shannon Hall,+1-334-913-9404,Maruti,Baleno,11,72112,14,car not starting intermittently,General Check,High,1.1
Carrie Griffin,961.665.1727x721,BMW,3-Series,9,85964,23,aircon not cooling. Wrong movie fund too watch.,General Check,Low,1.7
Barbara Crawford,+1-791-510-0430x216,Kia,Sonet,2,70901,16,strange smell from cabin. Surface high free.,Brakes,Low,3.4
Laurie Duffy,001-480-530-5067x16957,Toyota,Corolla,9,48725,19,squealing noise from belt,Engine,Low,3.9
Laura James,921.510.5147x201,Kia,Seltos,13,32397,18,strange smell from cabin. Spend Democrat rock identify.,Engine,Medium,6.4
Michele Wagner,893.719.0830x6350,Hyundai,i20,10,44951,34,squealing noise from belt. Right majority big certain power century term.,General Check,Medium,3.0
Frank Robles,3273738991,Honda,City,4,108505,20,battery dies quickly. It control nice family party science.,Electrical,High,2.8
Nicholas Harris,465.231.3978x511,Mahindra,Bolero,8,85877,2,car not starting intermittently. No this under get prove phone leave.,AC,High,4.1
Carol Cole,+1-441-206-8652x5209,Honda,City,14,51328,10,aircon not cooling,Engine,Medium,7.6
Mark Miller,(318)504-8399x47989,Toyota,Corolla,13,61287,5,engine oil leak,Oil Change,Medium,1.8
Matthew Thomas,+1-353-239-5240,Toyota,Corolla,1,1000,29,battery dies quickly. Picture again body day standard.,Electrical,High,1.3
James Thompson,(477)562-5904x995,Hyundai,Creta,8,42120,19,brakes making noise. Stuff college black memory name.,Brakes,Low,5.4
Kristin Blair,001-842-200-2146x727,Honda,City,13,9666,22,squealing noise from belt. Approach quickly director into.,Engine,Medium,5.7
Daniel Collins,209.759.7588,Hyundai,Creta,10,55571,10,battery dies quickly,General Check,High,1.3
Roger Wilson,+1-803-592-3471,Hyundai,Creta,0,60621,28,aircon not cooling. Form this little bill identify represent special.,AC,Medium,5.5
